Sample_ID	Population
EPI_ISL_529022	NZ
EPI_ISL_529026	NZ
EPI_ISL_542098	NZ
EPI_ISL_542099	NZ
EPI_ISL_542100	NZ
EPI_ISL_542101	NZ
EPI_ISL_542102	NZ
EPI_ISL_542103	NZ
EPI_ISL_542104	NZ
EPI_ISL_542105	NZ
EPI_ISL_542106	NZ
EPI_ISL_542107	NZ
EPI_ISL_542108	NZ
EPI_ISL_542109	NZ
EPI_ISL_542110	NZ
EPI_ISL_542111	NZ
EPI_ISL_542112	NZ
EPI_ISL_542113	NZ
EPI_ISL_542114	NZ
EPI_ISL_542115	NZ
EPI_ISL_542116	NZ
EPI_ISL_542117	NZ
EPI_ISL_542118	NZ
EPI_ISL_542119	NZ
EPI_ISL_542120	NZ
EPI_ISL_542121	NZ
EPI_ISL_542122	NZ
EPI_ISL_542123	NZ
EPI_ISL_542124	NZ
EPI_ISL_542125	NZ
EPI_ISL_542126	NZ
EPI_ISL_542127	NZ
EPI_ISL_542128	NZ
EPI_ISL_542129	NZ
EPI_ISL_542130	NZ
EPI_ISL_542131	NZ
EPI_ISL_542132	NZ
EPI_ISL_542133	NZ
EPI_ISL_542134	NZ
EPI_ISL_542135	NZ
EPI_ISL_542136	NZ
EPI_ISL_542137	NZ
EPI_ISL_542138	NZ
EPI_ISL_542139	NZ
EPI_ISL_542140	NZ
EPI_ISL_542141	NZ
EPI_ISL_542142	NZ
EPI_ISL_542143	NZ
EPI_ISL_542144	NZ
EPI_ISL_542145	NZ
EPI_ISL_542146	NZ
EPI_ISL_542147	NZ
EPI_ISL_542148	NZ
EPI_ISL_542149	NZ
EPI_ISL_542150	NZ
EPI_ISL_542151	NZ
EPI_ISL_542152	NZ
EPI_ISL_542153	NZ
EPI_ISL_542154	NZ
EPI_ISL_542155	NZ
EPI_ISL_542156	NZ
EPI_ISL_542157	NZ
EPI_ISL_542158	NZ
EPI_ISL_542159	NZ
EPI_ISL_542160	NZ
EPI_ISL_542161	NZ
EPI_ISL_542162	NZ
EPI_ISL_542163	NZ
EPI_ISL_542164	NZ
EPI_ISL_542165	NZ
EPI_ISL_542166	NZ
EPI_ISL_542167	NZ
EPI_ISL_542168	NZ
EPI_ISL_542169	NZ
EPI_ISL_542170	NZ
EPI_ISL_542171	NZ
EPI_ISL_542172	NZ
EPI_ISL_542173	NZ
EPI_ISL_542174	NZ
EPI_ISL_542175	NZ
EPI_ISL_542176	NZ
EPI_ISL_542177	NZ
EPI_ISL_542178	NZ
EPI_ISL_542179	NZ
EPI_ISL_542180	NZ
EPI_ISL_542181	NZ
EPI_ISL_542182	NZ
EPI_ISL_542183	NZ
EPI_ISL_542184	NZ
EPI_ISL_542185	NZ
EPI_ISL_542186	NZ
